[2025-11-15T10:34:11.069Z] [ERROR] API Error fetching navigation data: | meta: {"length":163,"name":"error","severity":"FATAL","code":"28000","file":"auth.c","line":"541","routine":"ClientAuthentication"}
[2025-11-15T10:34:11.075Z] [ERROR] Error fetching top selling: | meta: {"error":{"length":163,"name":"error","severity":"FATAL","code":"28000","file":"auth.c","line":"541","routine":"ClientAuthentication"}}
[2025-11-15T10:34:30.054Z] [ERROR] API Error fetching navigation data: | meta: {"length":163,"name":"error","severity":"FATAL","code":"28000","file":"auth.c","line":"541","routine":"ClientAuthentication"}
[2025-11-15T10:34:30.067Z] [ERROR] Error fetching top selling: | meta: {"error":{"length":163,"name":"error","severity":"FATAL","code":"28000","file":"auth.c","line":"541","routine":"ClientAuthentication"}}
[2025-11-15T10:35:25.029Z] [ERROR] API Error fetching products page data: | meta: {"length":163,"name":"error","severity":"FATAL","code":"28000","file":"auth.c","line":"541","routine":"ClientAuthentication"}
[2025-11-15T10:35:25.549Z] [ERROR] API Error fetching products page data: | meta: {"length":163,"name":"error","severity":"FATAL","code":"28000","file":"auth.c","line":"541","routine":"ClientAuthentication"}
[2025-11-15T10:37:39.481Z] [ERROR] Error fetching top selling: | meta: {"error":{"length":163,"name":"error","severity":"FATAL","code":"28000","file":"auth.c","line":"541","routine":"ClientAuthentication"}}
[2025-11-15T10:37:39.980Z] [ERROR] Error fetching top selling: | meta: {"error":{"length":163,"name":"error","severity":"FATAL","code":"28000","file":"auth.c","line":"541","routine":"ClientAuthentication"}}
[2025-11-15T12:28:58.660Z] [DEBUG] UID: 32 Role Value (Dashboard) = true
[2025-11-15T12:28:58.710Z] [DEBUG] UID: 32 Role Value (Dashboard) = true
[2025-11-15T12:28:58.715Z] [DEBUG] UID: 32 Role Value (Dashboard) = true
[2025-11-15T12:28:58.750Z] [DEBUG] UID: 32 Role Value (Dashboard) = true
[2025-11-15T12:28:59.209Z] [DEBUG] UID: 32 Role Value (Dashboard) = true
[2025-11-15T12:28:59.823Z] [DEBUG] UID: 32 Role Value (Dashboard) = true
[2025-11-15T12:29:02.141Z] [DEBUG] UID: 32 Role Value (Order_Mgr) = true
[2025-11-15T12:29:27.682Z] [DEBUG] UID: 32 Role Value (Order_Mgr) = true
[2025-11-15T12:29:46.516Z] [DEBUG] UID: 32 Role Value (Order_Mgr) = true
[2025-11-15T12:30:04.957Z] [DEBUG] UID: 32 Role Value (Order_Mgr) = true
[2025-11-15T12:30:06.846Z] [DEBUG] UID: 32 Role Value (Order_Mgr) = true
[2025-11-15T12:30:16.213Z] [DEBUG] UID: 32 Role Value (Order_Mgr) = true
[2025-11-15T12:30:40.667Z] [DEBUG] UID: 32 Role Value (Order_Mgr) = true
[2025-11-15T12:30:42.376Z] [DEBUG] UID: 32 Role Value (Order_Mgr) = true
[2025-11-15T12:30:57.179Z] [DEBUG] UID: 32 Role Value (Order_Mgr) = true
[2025-11-15T12:30:59.002Z] [DEBUG] UID: 32 Role Value (Stock_Mgr) = true
